Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FS","Données de la sécurité alimentaire","020","Andorre","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20132015","2013-2015","%","","O","Valeur manquante",""
"FS","Données de la sécurité alimentaire","020","Andorre","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20142016","2014-2016","%","","O","Valeur manquante",""
"FS","Données de la sécurité alimentaire","020","Andorre","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20152017","2015-2017","%","","O","Valeur manquante",""
"FS","Données de la sécurité alimentaire","020","Andorre","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20162018","2016-2018","%","","O","Valeur manquante",""
"FS","Données de la sécurité alimentaire","020","Andorre","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20172019","2017-2019","%","","O","Valeur manquante",""
"FS","Données de la sécurité alimentaire","028","Antigua-et-Barbuda","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20132015","2013-2015","%","","O","Valeur manquante",""
"FS","Données de la sécurité alimentaire","028","Antigua-et-Barbuda","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20142016","2014-2016","%","","O","Valeur manquante",""
"FS","Données de la sécurité alimentaire","028","Antigua-et-Barbuda","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20152017","2015-2017","%","","O","Valeur manquante",""
"FS","Données de la sécurité alimentaire","028","Antigua-et-Barbuda","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20162018","2016-2018","%","","O","Valeur manquante",""
"FS","Données de la sécurité alimentaire","028","Antigua-et-Barbuda","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20172019","2017-2019","%","","O","Valeur manquante",""
"FS","Données de la sécurité alimentaire","036","Australie","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20132015","2013-2015","%","2.5","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","036","Australie","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20142016","2014-2016","%","2.5","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","036","Australie","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20152017","2015-2017","%","2.5","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","036","Australie","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20162018","2016-2018","%","2.5","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","036","Australie","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20172019","2017-2019","%","2.5","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","040","Autriche","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20132015","2013-2015","%","2.5","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","040","Autriche","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20142016","2014-2016","%","2.5","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","040","Autriche","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20152017","2015-2017","%","2.5","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","040","Autriche","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20162018","2016-2018","%","2.5","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","040","Autriche","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20172019","2017-2019","%","2.5","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","031","Azerbaïdjan","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20132015","2013-2015","%","2.5","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","031","Azerbaïdjan","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20142016","2014-2016","%","2.5","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","031","Azerbaïdjan","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20152017","2015-2017","%","2.5","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","031","Azerbaïdjan","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20162018","2016-2018","%","2.5","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","031","Azerbaïdjan","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20172019","2017-2019","%","2.5","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","044","Bahamas","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20132015","2013-2015","%","","O","Valeur manquante",""
"FS","Données de la sécurité alimentaire","044","Bahamas","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20142016","2014-2016","%","","O","Valeur manquante",""
"FS","Données de la sécurité alimentaire","044","Bahamas","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20152017","2015-2017","%","","O","Valeur manquante",""
